Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	DeltaLossPi	LossV	DeltaLossV	LossDC	DeltaLossDC	KL	Time
82	-0.19617248	0.5880817	0.9564009	-0.6427351	91.4	81.308304	210.0	0.0	1000.0	-6.0716324	7.541692	6.0435696	-34.62844	415000	7.097424e+17	-7.097424e+17	127.91015	-76.84801	0.0	0.0	1.6331673e-09	898.7729547023773
83	-0.21686196	0.3937437	0.29949662	-0.7682864	173.4	120.14924	329.0	0.0	1000.0	-8.8173685	6.618658	5.8935595	-39.14849	420000	2.479697e+27	-2.479697e+27	274.02234	-179.87253	0.0	0.0	3.0755998e-09	909.2632391452789
84	0.062207587	0.47098055	0.73560697	-0.501933	59.4	62.97174	162.0	0.0	1000.0	-11.215014	9.494435	5.5911603	-38.115078	425000	5.903512e+26	-5.903512e+26	217.81982	-172.87383	0.0	0.0	-9.059906e-10	920.2170357704163
85	-0.2735291	0.6588248	0.5592939	-1.2749135	137.2	123.102234	289.0	0.0	1000.0	-4.0207562	5.4706917	3.9269252	-31.278528	430000	7.217549e+27	-7.217549e+27	342.44684	-226.94992	0.0	0.0	-1.835823e-09	930.8750078678131
86	0.3126753	0.72873497	1.3746758	-0.5384976	63.6	99.93918	258.0	0.0	1000.0	-10.263192	6.194074	0.46278036	-40.05866	435000	1.5872907e+27	-1.5872907e+27	279.62195	-164.7592	0.0	0.0	-1.6689301e-09	941.1023132801056
87	-0.13296789	0.40061405	0.449944	-0.53345865	72.4	82.756516	186.0	0.0	1000.0	-0.6350865	2.0235627	4.344506	-6.5118337	440000	2.0588682e+24	-2.0588682e+24	211.1706	-100.27952	0.0	0.0	2.026558e-10	951.5118827819824
88	-0.20633164	0.69696635	0.72246146	-1.353055	72.6	92.02521	219.0	0.0	1000.0	-8.903668	4.490131	-1.3556832	-21.681444	445000	3.3339782e+21	-3.3339782e+21	119.205315	-67.49948	0.0	0.0	4.3034554e-09	962.1797280311584
89	0.057511695	0.52543426	1.0334216	-0.44691464	88.2	113.779434	277.0	0.0	1000.0	-4.538151	5.612972	3.7951965	-25.928558	450000	2.3540798e+26	-2.3540798e+26	286.41055	-158.58359	0.38527602	-0.033733815	5.5789946e-09	972.9866330623627
90	0.39211798	1.0279721	1.7508574	-0.7879648	44.8	54.92686	116.0	0.0	1000.0	-8.559326	7.945067	4.6674495	-38.96144	455000	1.6983352e+18	-1.6983352e+18	98.68628	-76.79018	0.0	0.0	2.7418137e-10	983.6344780921936
91	0.18061078	0.3858551	0.66419005	-0.4445441	72.0	98.38902	264.0	0.0	1000.0	-12.374844	13.7069235	6.2949686	-59.4604	460000	1.8190856e+28	-1.8190856e+28	395.0012	-324.293	0.0	0.0	-7.617474e-09	995.5431501865387
92	-0.106547356	1.1114184	1.8834696	-1.3096464	55.2	110.399994	276.0	0.0	1000.0	-0.7808747	1.7436596	3.2171965	-13.519099	465000	1.5308412e+25	-1.5308412e+25	155.3285	-116.709564	0.0	0.0	-1.6927719e-09	1007.6775240898132
93	0.0628765	1.0093571	1.928495	-0.82701445	13.6	27.2	68.0	0.0	1000.0	-3.0741782	3.3638325	5.194537	-14.885444	470000	1549527400000.0	-1549527400000.0	40.546555	-27.463852	0.0	0.0	2.7656555e-09	1019.4108362197876
94	-0.010168719	1.2653393	2.0827675	-1.4811761	1.2	2.4	6.0	0.0	1000.0	-2.2089918	2.1006463	2.1607618	-15.287781	475000	0.5072749	-0.49877816	8.629158	-8.020563	0.0	0.0	6.198883e-10	1032.1818294525146
95	0.49817544	0.7759925	1.872392	-0.21820635	130.8	112.84573	290.0	0.0	1000.0	0.052741945	1.341735	3.8608809	-8.914194	480000	6.322939e+29	-6.322939e+29	489.2628	-170.64673	0.0	0.0	-4.4941904e-09	1043.833827972412
96	0.30346277	1.4195495	2.5080645	-1.0932579	56.0	44.636307	135.0	0.0	1000.0	-9.6971035	3.278831	-1.415402	-26.754839	485000	4.140908e+22	-4.140908e+22	110.817314	-83.71909	0.0	0.0	3.0398368e-09	1055.698138475418
97	-0.54135776	0.5872025	0.2970938	-1.2425201	36.8	73.6	184.0	0.0	1000.0	-3.3114905	3.0671468	1.0285363	-26.098488	490000	7.162112e+20	-7.162112e+20	61.339462	-43.08922	0.0	0.0	-8.7022783e-10	1067.8429019451141
98	-0.35941818	0.41717994	0.014459752	-1.1744677	71.2	142.4	356.0	0.0	1000.0	-7.688616	11.877861	2.9186811	-47.901493	495000	9.973466e+31	-9.973466e+31	172.3079	-87.87609	0.0	0.0	5.030632e-09	1080.2302503585815
99	0.43371993	0.73536533	1.4655546	-0.4215888	50.8	101.600006	254.0	0.0	1000.0	-1.4851434	3.2664776	4.6891336	-16.100143	500000	3.9628358e+26	-3.9628358e+26	150.8791	-98.74335	0.39493462	-0.023546547	-3.7431716e-09	1092.3373658657074
100	-0.57569164	0.4247861	-0.18385679	-1.2653708	62.0	80.247116	217.0	0.0	1000.0	-4.6265	3.7910595	1.3628956	-22.96512	505000	6.1557145e+22	-6.1557145e+22	129.24464	-85.47061	0.0	0.0	2.3126603e-09	1105.032219171524
101	-0.17317557	0.36292532	0.43352988	-0.6222973	50.4	55.937824	129.0	0.0	1000.0	-11.514145	11.119548	1.5910398	-39.62065	510000	1.032737e+17	-1.032737e+17	258.2559	-195.97354	0.0	0.0	2.1457671e-09	1115.8107643127441
